PPT,Handedness,AQ,SPIN,A_DG,A_AG,That_DG,That_AG,May_DG,May_AG,Might_DG,Might_AG,Will_DG,Will_AG,Catch_Yes,Catch_No,N400_DG,N400_AG,Dif_Gaze_on_A,Dif_Gaze_on_That,Dif_Det_on_DG,Dif_Det_on_AG,AQ Med,Hand Med,Specific w/ Direct Gaze,Specific w/ Averted Gaze,Non-specific w/ Direct Gaze,Non-specific w/ Averted Gaze
3,-22,13,24,5.583333333,5.583333333,5.416666667,4.666666667,5.5,5.833333333,5.166666667,6,6.333333333,5.583333333,2,1.083333333,1,1,0,0.75,0.166666667,0.916666667,0,0,5.583333333,5.583333333,5.416666667,4.666666667
4,16,19,35,6.083333333,5.583333333,5.75,5.666666667,6.166666667,5.833333333,4.666666667,5.666666667,5.833333333,5.833333333,2,1,1,1.5,0.5,0.083333333,0.333333333,-0.083333333,1,1,6.083333333,5.583333333,5.75,5.666666667
5,11,13,25,5.416666667,6,4.833333333,4.833333333,5.5,5,5.333333333,6,5.666666667,5.5,2,1,1.5,1,-0.583333333,0,0.583333333,1.166666667,0,0,5.416666667,6,4.833333333,4.833333333
9,13,13,19,6,5.666666667,5.416666667,5.666666667,4.666666667,5,5.833333333,5.166666667,6,5.5,2,1,1.5,1,0.333333333,-0.25,0.583333333,0,0,0,6,5.666666667,5.416666667,5.666666667
10,14,15,14,4.666666667,4.416666667,2.833333333,2.833333333,4.166666667,4.833333333,4.333333333,4.333333333,4.416666667,4.916666667,2,1.166666667,2,2,0.25,0,1.833333333,1.583333333,0,0,4.666666667,4.416666667,2.833333333,2.833333333
11,24,20,30,5.416666667,5.416666667,5.583333333,4.916666667,5.666666667,4.5,5.5,5.166666667,5.666666667,5.833333333,1.833333333,1,2,2,0,0.666666667,-0.166666667,0.5,1,1,5.416666667,5.416666667,5.583333333,4.916666667
12,12,16,44,5.416666667,4.666666667,5.916666667,5,6.166666667,5,5,5.666666667,4.416666667,4.083333333,2,1.083333333,1,1,0.75,0.916666667,-0.5,-0.333333333,0,0,5.416666667,4.666666667,5.916666667,5
16,24,21,46,5.083333333,5.25,4.916666667,4.583333333,5.166666667,5.333333333,5,5,4.916666667,4.75,1.833333333,1.083333333,2,2,-0.166666667,0.333333333,0.166666667,0.666666667,1,1,5.083333333,5.25,4.916666667,4.583333333
19,21,18,17,5.5,5,5.166666667,4.083333333,6,4.666666667,5.166666667,6.166666667,4.916666667,5.25,1.916666667,1.083333333,2,1.5,0.5,1.083333333,0.333333333,0.916666667,0,1,5.5,5,5.166666667,4.083333333
20,24,22,45,5.583333333,5.333333333,3.083333333,2.5,6,6.833333333,4.5,5.166666667,6.5,6.333333333,2,1,1,1,0.25,0.583333333,2.5,2.833333333,1,1,5.583333333,5.333333333,3.083333333,2.5
21,24,18,27,6,6.333333333,6.083333333,6.25,6.333333333,6.333333333,6.333333333,6.166666667,6.666666667,5.666666667,1.833333333,1.25,1,1,-0.333333333,-0.166666667,-0.083333333,0.083333333,0,1,6,6.333333333,6.083333333,6.25
22,20,25,54,4.5,4.666666667,3.583333333,3.666666667,5,4.666666667,4.166666667,4.5,4.583333333,4.25,1.75,1.25,1.5,2.5,-0.166666667,-0.083333333,0.916666667,1,1,1,4.5,4.666666667,3.583333333,3.666666667
25,15,38,39,6.75,6.583333333,6.916666667,6.583333333,7,7,5.666666667,5.833333333,6.416666667,6.833333333,2,1,1,1,0.166666667,0.333333333,-0.166666667,0,1,0,6.75,6.583333333,6.916666667,6.583333333
27,18,15,9,4.5,4.166666667,3.75,3.5,3.666666667,4.5,4,4.333333333,4.583333333,4.166666667,2,1.083333333,1,1,0.333333333,0.25,0.75,0.666666667,0,1,4.5,4.166666667,3.75,3.5
30,11,17,21,4.416666667,4.916666667,4.5,4.5,4.333333333,5.166666667,3.666666667,4.5,5.083333333,5,1.916666667,1.083333333,2,3,-0.5,0,-0.083333333,0.416666667,0,0,4.416666667,4.916666667,4.5,4.5
31,14,14,29,5,4.916666667,5.166666667,4.916666667,5.166666667,3.666666667,5.166666667,5.5,4.916666667,5,2,1,1.5,1,0.083333333,0.25,-0.166666667,0,0,0,5,4.916666667,5.166666667,4.916666667
32,9,15,7,5.916666667,5.75,5.75,5.083333333,4,6.166666667,5.666666667,5,5.333333333,4.5,2,1,1.5,1.5,0.166666667,0.666666667,0.166666667,0.666666667,0,0,5.916666667,5.75,5.75,5.083333333
34,5,42,26,6,5.25,5.333333333,5.416666667,5.333333333,5.666666667,4.833333333,5.5,5.083333333,5.416666667,2,1,1,1,0.75,-0.083333333,0.666666667,-0.166666667,1,0,6,5.25,5.333333333,5.416666667
35,24,22,42,5.25,5.25,5.5,5.25,5.5,4.666666667,5.333333333,4.166666667,5.333333333,6.333333333,2,1,1,1.5,0,0.25,-0.25,0,1,1,5.25,5.25,5.5,5.25
39,8,20,21,5,5.75,4.666666667,4.166666667,4.5,5.333333333,4.666666667,5,5.333333333,5.083333333,2,1.083333333,1,1.5,-0.75,0.5,0.333333333,1.583333333,1,0,5,5.75,4.666666667,4.166666667
43,16,35,55,5.083333333,5,2.916666667,3,4.5,4.333333333,3.5,4.5,4.666666667,5.25,2,1,1,1,0.083333333,-0.083333333,2.166666667,2,1,1,5.083333333,5,2.916666667,3
44,23,28,26,6.333333333,6.416666667,6.083333333,5.833333333,6.5,7,5.833333333,6.333333333,5.916666667,6.083333333,1.916666667,1,1,1,-0.083333333,0.25,0.25,0.583333333,1,1,6.333333333,6.416666667,6.083333333,5.833333333
45,-12,13,9,5.25,4.666666667,5.416666667,5.166666667,4.666666667,4.333333333,5.333333333,4.333333333,4.916666667,5.25,2,1.083333333,1,1.5,0.583333333,0.25,-0.166666667,-0.5,0,0,5.25,4.666666667,5.416666667,5.166666667
47,19,23,32,5.083333333,5.25,5.75,5.25,3.333333333,5,6,4.333333333,6,4.666666667,2,1,1,1.5,-0.166666667,0.5,-0.666666667,0,1,1,5.083333333,5.25,5.75,5.25
49,22,17,20,6,6.416666667,5.416666667,5.083333333,6.833333333,5.5,6.666666667,6.333333333,5.666666667,5.916666667,2,1,2,1,-0.416666667,0.333333333,0.583333333,1.333333333,0,1,6,6.416666667,5.416666667,5.083333333
51,24,25,57,6.333333333,6.583333333,6.666666667,6.166666667,7,6.166666667,6.666666667,6.833333333,6.166666667,6.416666667,1.916666667,1.25,1.5,1.5,-0.25,0.5,-0.333333333,0.416666667,1,1,6.333333333,6.583333333,6.666666667,6.166666667
52,10,18,23,5.666666667,5.916666667,5.333333333,4.583333333,5.833333333,7,6.166666667,6.333333333,6.083333333,6,2,1,3,1,-0.25,0.75,0.333333333,1.333333333,0,0,5.666666667,5.916666667,5.333333333,4.583333333
53,18,21,33,4.333333333,4.666666667,3.916666667,3.666666667,5.833333333,5.5,5.5,4.5,5.75,5.333333333,1.916666667,1.166666667,1,1,-0.333333333,0.25,0.416666667,1,1,1,4.333333333,4.666666667,3.916666667,3.666666667
54,11,22,37,5.666666667,4.833333333,3.916666667,4.916666667,5.833333333,4.666666667,4.166666667,5.833333333,4.666666667,4.5,2,1.083333333,1,1,0.833333333,-1,1.75,-0.083333333,1,0,5.666666667,4.833333333,3.916666667,4.916666667
55,15,28,31,6.416666667,5.833333333,6.416666667,6.5,5.666666667,7,6.666666667,6.833333333,6.5,6.166666667,2,1.083333333,1,1.5,0.583333333,-0.083333333,0,-0.666666667,1,0,6.416666667,5.833333333,6.416666667,6.5
56,10,25,32,6.083333333,5.916666667,5.833333333,5.416666667,5.5,5.833333333,6,5.166666667,6.833333333,5.916666667,2,1.166666667,1,1,0.166666667,0.416666667,0.25,0.5,1,0,6.083333333,5.916666667,5.833333333,5.416666667
59,12,12,21,6.583333333,5.75,5.5,5.666666667,6.166666667,5.333333333,5.5,6.5,5.333333333,6.166666667,2,1.083333333,1,2.5,0.833333333,-0.166666667,1.083333333,0.083333333,0,0,6.583333333,5.75,5.5,5.666666667
62,24,18,21,5.333333333,4.25,4.083333333,4.75,4.666666667,5.333333333,5.166666667,3.833333333,4.25,5.083333333,2,1.166666667,1,1.5,1.083333333,-0.666666667,1.25,-0.5,0,1,5.333333333,4.25,4.083333333,4.75
66,14,15,26,6.25,5.833333333,5.75,6.25,5.833333333,6.166666667,7,6.333333333,6.583333333,5.916666667,2,1.083333333,1,1,0.416666667,-0.5,0.5,-0.416666667,0,0,6.25,5.833333333,5.75,6.25
67,18,15,13,4.833333333,5.416666667,5,5.166666667,5.166666667,4.333333333,5.333333333,5.166666667,4.916666667,5.083333333,1.833333333,1,1,1.5,-0.583333333,-0.166666667,-0.166666667,0.25,0,1,4.833333333,5.416666667,5,5.166666667
68,24,24,45,3.166666667,3,3.25,3.916666667,3.833333333,2,3.166666667,2.833333333,2.666666667,3.083333333,2,1.083333333,2.5,1,0.166666667,-0.666666667,-0.083333333,-0.916666667,1,1,3.166666667,3,3.25,3.916666667
71,12,12,27,5.5,4.833333333,5,5.916666667,5.166666667,4.666666667,5.5,5,5.083333333,5.25,2,1.166666667,2.5,2,0.666666667,-0.916666667,0.5,-1.083333333,0,0,5.5,4.833333333,5,5.916666667
72,-24,19,25,5.083333333,5.083333333,5.333333333,4.75,5.833333333,5.666666667,5.5,4.5,5.166666667,5.333333333,1.916666667,1.083333333,1.5,2.5,0,0.583333333,-0.25,0.333333333,1,0,5.083333333,5.083333333,5.333333333,4.75
76,-19,20,31,5.666666667,5.5,5.666666667,5.166666667,4,5.666666667,5.5,4.833333333,5.833333333,5.333333333,2,1.083333333,1.5,1,0.166666667,0.5,0,0.333333333,1,0,5.666666667,5.5,5.666666667,5.166666667
77,24,33,43,4.583333333,4.833333333,4.333333333,4.5,4.666666667,5.333333333,5,4.666666667,5.25,4.833333333,2,1.083333333,2,2,-0.25,-0.166666667,0.25,0.333333333,1,1,4.583333333,4.833333333,4.333333333,4.5
81,20,21,15,5.583333333,6.416666667,5.083333333,5.583333333,7,5.666666667,6,7,6.5,6,2,1.166666667,1,1,-0.833333333,-0.5,0.5,0.833333333,1,1,5.583333333,6.416666667,5.083333333,5.583333333
82,10,21,11,5.833333333,6.5,5.833333333,5.083333333,6,6.5,5,6.333333333,6.083333333,5.75,1.916666667,1.083333333,1,1,-0.666666667,0.75,0,1.416666667,1,0,5.833333333,6.5,5.833333333,5.083333333
83,21,17,36,3.583333333,2.916666667,2.583333333,3.25,4.333333333,3.5,3.833333333,4.166666667,3.916666667,3.25,2,1,2.5,2.5,0.666666667,-0.666666667,1,-0.333333333,0,1,3.583333333,2.916666667,2.583333333,3.25
84,20,19,39,5.166666667,4.666666667,3.416666667,2.416666667,4.333333333,3.833333333,3.5,5.5,4.5,4.583333333,1.916666667,1.166666667,1,1,0.5,1,1.75,2.25,1,1,5.166666667,4.666666667,3.416666667,2.416666667
85,21,18,35,5.833333333,6.25,4,3.333333333,5.5,6,4,6,5.833333333,5.583333333,2,1.083333333,1,1,-0.416666667,0.666666667,1.833333333,2.916666667,0,1,5.833333333,6.25,4,3.333333333
87,20,16,30,6.75,6.083333333,5.5,6.333333333,6.833333333,6.333333333,5.666666667,6.333333333,6.5,5.833333333,2,1,1,1,0.666666667,-0.833333333,1.25,-0.25,0,1,6.75,6.083333333,5.5,6.333333333
91,10,17,21,4.75,5,4.75,4.833333333,5,4.666666667,4.833333333,5.166666667,5,5,1.916666667,1,3,2.5,-0.25,-0.083333333,0,0.166666667,0,0,4.75,5,4.75,4.833333333
93,-21,24,31,5.75,5.5,5.333333333,4.666666667,5.666666667,5.666666667,4.833333333,5.333333333,5.916666667,5.5,2,1.083333333,3,2.5,0.25,0.666666667,0.416666667,0.833333333,1,0,5.75,5.5,5.333333333,4.666666667
95,20,18,17,6.666666667,6.25,6.083333333,6.916666667,6.333333333,6.166666667,6.5,6.833333333,6.166666667,6.25,2,1,1.5,1,0.416666667,-0.833333333,0.583333333,-0.666666667,0,1,6.666666667,6.25,6.083333333,6.916666667
100,10,30,56,6.416666667,6.666666667,6.166666667,5.333333333,7,6.166666667,4.833333333,6,5.833333333,5.583333333,2,1,1.5,1,-0.25,0.833333333,0.25,1.333333333,1,0,6.416666667,6.666666667,6.166666667,5.333333333
101,24,7,8,5.333333333,5.25,3.333333333,3.5,5.166666667,4.833333333,5.333333333,5.166666667,4.333333333,4.75,1.916666667,1.25,1,1,0.083333333,-0.166666667,2,1.75,0,1,5.333333333,5.25,3.333333333,3.5
